Unidad Organizativa;Reporta A;Jerarquía;Línea de Reporte;Nivel Jerárquico Calculado;Unidades que Reportan Directamente;Responsable de Gestión de Otras;Nivel Funcional Esperado;Misión;Tipo de Función;Descripción;Producto Final;Porcentaje Dedicación;Nivel de Reporte;Reporta a;Unidad Superior;Fecha de Aprobación;% Dedicación
Estrategia Comercial Y Propuesta De Valor;Segmento Personas;GD;SGP Negocio > Segmento Personas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor para el Segmento Personas, asegurando su alineación con la estrategia comercial, los objetivos institucionales y la experiencia del cliente.;Indicador;Evaluar la efectividad de la segmentación de clientes personas;Indicador de Efectividad de Segmentación;;;;;;
Estrategia Comercial Y Propuesta De Valor;Segmento Personas;GD;SGP Negocio > Segmento Personas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor para el Segmento Personas, asegurando su alineación con la estrategia comercial, los objetivos institucionales y la experiencia del cliente.;Indicador;Monitorear la adopción de nuevos productos y servicios por parte de clientes personas;Indicador de Adopción de Productos;;;;;;
Estrategia Comercial Y Propuesta De Valor;Segmento Personas;GD;SGP Negocio > Segmento Personas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor para el Segmento Personas, asegurando su alineación con la estrategia comercial, los objetivos institucionales y la experiencia del cliente.;Indicador;Medir el impacto de las estrategias comerciales en la retención de clientes;Indicador de Retención de Clientes;;;;;;
Estrategia Comercial Y Propuesta De Valor Empresas;Segmento Empresas;GD;SGP Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor del Segmento Empresas, asegurando su alineación con la estrategia comercial del banco, los objetivos institucionales y la mejora continua de la experiencia del cliente, mediante el análisis de segmentos productivos, el diseño de soluciones comerciales innovadoras y la coordinación de acciones multicanal.;Genérica;Analizar segmentos del sector productivo, identificar necesidades financieras, evaluar propuestas comerciales y coordinar la implementación con productos, canales y regiones.;Propuesta de Valor Integrada para Empresas;;;;;;
Estrategia Comercial Y Propuesta De Valor Empresas;Segmento Empresas;GD;SGP Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor del Segmento Empresas, asegurando su alineación con la estrategia comercial del banco, los objetivos institucionales y la mejora continua de la experiencia del cliente, mediante el análisis de segmentos productivos, el diseño de soluciones comerciales innovadoras y la coordinación de acciones multicanal.;Específica;Diseñar propuestas de valor segmentadas para los distintos perfiles de clientes (PyMEs, grandes empresas, sector público, agro, etc.).;Propuesta de Valor Segmentada;12.5;;;;;
Estrategia Comercial Y Propuesta De Valor Empresas;Segmento Empresas;GD;SGP Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor del Segmento Empresas, asegurando su alineación con la estrategia comercial del banco, los objetivos institucionales y la mejora continua de la experiencia del cliente, mediante el análisis de segmentos productivos, el diseño de soluciones comerciales innovadoras y la coordinación de acciones multicanal.;Específica;Detectar oportunidades de innovación en productos y servicios financieros.;Informe de Innovación Comercial;12.5;;;;;
Estrategia Comercial Y Propuesta De Valor Empresas;Segmento Empresas;GD;SGP Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor del Segmento Empresas, asegurando su alineación con la estrategia comercial del banco, los objetivos institucionales y la mejora continua de la experiencia del cliente, mediante el análisis de segmentos productivos, el diseño de soluciones comerciales innovadoras y la coordinación de acciones multicanal.;Específica;Supervisar e implementar mecanismos de control y seguimiento que aseguren el cumplimiento de políticas internas.;Plan de Acción Comercial Coordinado;12.5;;;;;
Estrategia Comercial Y Propuesta De Valor Empresas;Segmento Empresas;GD;SGP Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor del Segmento Empresas, asegurando su alineación con la estrategia comercial del banco, los objetivos institucionales y la mejora continua de la experiencia del cliente, mediante el análisis de segmentos productivos, el diseño de soluciones comerciales innovadoras y la coordinación de acciones multicanal.;Genérica;Supervisar el alineamiento estratégico de las acciones comerciales con los objetivos institucionales.;Informe de Alineación Comercial Estratégica;;;;;;
Estrategia Comercial Y Propuesta De Valor Empresas;Segmento Empresas;GD;SGP Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor del Segmento Empresas, asegurando su alineación con la estrategia comercial del banco, los objetivos institucionales y la mejora continua de la experiencia del cliente, mediante el análisis de segmentos productivos, el diseño de soluciones comerciales innovadoras y la coordinación de acciones multicanal.;Específica;Evaluar la performance de las acciones comerciales vinculadas a la propuesta de valor.;Informe de Impacto Comercial;12.5;;;;;
Estrategia Comercial Y Propuesta De Valor Empresas;Segmento Empresas;GD;SGP Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor del Segmento Empresas, asegurando su alineación con la estrategia comercial del banco, los objetivos institucionales y la mejora continua de la experiencia del cliente, mediante el análisis de segmentos productivos, el diseño de soluciones comerciales innovadoras y la coordinación de acciones multicanal.;Específica;Generar materiales de comunicación y entrenamiento para equipos comerciales sobre nuevas propuestas.;Kit de Propuesta Comercial Interna;12.5;;;;;
Estrategia Comercial Y Propuesta De Valor Empresas;Segmento Empresas;GD;SGP Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor del Segmento Empresas, asegurando su alineación con la estrategia comercial del banco, los objetivos institucionales y la mejora continua de la experiencia del cliente, mediante el análisis de segmentos productivos, el diseño de soluciones comerciales innovadoras y la coordinación de acciones multicanal.;Específica;Realizar benchmarking y análisis de tendencias de mercado en productos para empresas.;Reporte de Tendencias y Mejores Prácticas;12.5;;;;;
Estrategia Comercial Y Propuesta De Valor Empresas;Segmento Empresas;GD;SGP Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor del Segmento Empresas, asegurando su alineación con la estrategia comercial del banco, los objetivos institucionales y la mejora continua de la experiencia del cliente, mediante el análisis de segmentos productivos, el diseño de soluciones comerciales innovadoras y la coordinación de acciones multicanal.;Específica;Articular campañas comerciales con Canales Digitales y Sucursales.;Campañas Ejecutadas Multicanal;12.5;;;;;
Estrategia Comercial Y Propuesta De Valor Empresas;Segmento Empresas;GD;SGP Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor del Segmento Empresas, asegurando su alineación con la estrategia comercial del banco, los objetivos institucionales y la mejora continua de la experiencia del cliente, mediante el análisis de segmentos productivos, el diseño de soluciones comerciales innovadoras y la coordinación de acciones multicanal.;Específica;Diseñar indicadores de éxito de las propuestas y supervisar su medición.;Tablero de Seguimiento Estratégico;12.5;;;;;
Estrategia Comercial Y Propuesta De Valor Empresas;Segmento Empresas;GD;SGP Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor del Segmento Empresas, asegurando su alineación con la estrategia comercial del banco, los objetivos institucionales y la mejora continua de la experiencia del cliente, mediante el análisis de segmentos productivos, el diseño de soluciones comerciales innovadoras y la coordinación de acciones multicanal.;Indicador;Porcentaje de adopción de propuestas de valor por segmento empresarial;;;;;;;
Estrategia Comercial Y Propuesta De Valor Empresas;Segmento Empresas;GD;SGP Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor del Segmento Empresas, asegurando su alineación con la estrategia comercial del banco, los objetivos institucionales y la mejora continua de la experiencia del cliente, mediante el análisis de segmentos productivos, el diseño de soluciones comerciales innovadoras y la coordinación de acciones multicanal.;Indicador;Número de propuestas de valor implementadas exitosamente;;;;;;;
Estrategia Comercial Y Propuesta De Valor Empresas;Segmento Empresas;GD;SGP Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor del Segmento Empresas, asegurando su alineación con la estrategia comercial del banco, los objetivos institucionales y la mejora continua de la experiencia del cliente, mediante el análisis de segmentos productivos, el diseño de soluciones comerciales innovadoras y la coordinación de acciones multicanal.;Indicador;Tasa de conversión de propuestas de valor en ventas;;;;;;;
Estrategia Comercial Y Propuesta De Valor Empresas;Segmento Empresas;GD;SGP Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor del Segmento Empresas, asegurando su alineación con la estrategia comercial del banco, los objetivos institucionales y la mejora continua de la experiencia del cliente, mediante el análisis de segmentos productivos, el diseño de soluciones comerciales innovadoras y la coordinación de acciones multicanal.;Indicador;Satisfacción del cliente empresarial con las propuestas de valor;;;;;;;
Estrategia Comercial Y Propuesta De Valor Empresas;Segmento Empresas;GD;SGP Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor del Segmento Empresas, asegurando su alineación con la estrategia comercial del banco, los objetivos institucionales y la mejora continua de la experiencia del cliente, mediante el análisis de segmentos productivos, el diseño de soluciones comerciales innovadoras y la coordinación de acciones multicanal.;Indicador;Tiempo promedio de implementación de propuestas de valor;;;;;;;
Estrategia Comercial Y Propuesta De Valor Empresas;Segmento Empresas;GD;SGP Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor del Segmento Empresas, asegurando su alineación con la estrategia comercial del banco, los objetivos institucionales y la mejora continua de la experiencia del cliente, mediante el análisis de segmentos productivos, el diseño de soluciones comerciales innovadoras y la coordinación de acciones multicanal.;Indicador;ROI de las propuestas de valor por segmento;;;;;;;
Estrategia Comercial Y Propuesta De Valor Empresas;Segmento Empresas;GD;SGP Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor del Segmento Empresas, asegurando su alineación con la estrategia comercial del banco, los objetivos institucionales y la mejora continua de la experiencia del cliente, mediante el análisis de segmentos productivos, el diseño de soluciones comerciales innovadoras y la coordinación de acciones multicanal.;Indicador;Número de innovaciones comerciales implementadas;;;;;;;
Estrategia Comercial Y Propuesta De Valor Empresas;Segmento Empresas;GD;SGP Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor del Segmento Empresas, asegurando su alineación con la estrategia comercial del banco, los objetivos institucionales y la mejora continua de la experiencia del cliente, mediante el análisis de segmentos productivos, el diseño de soluciones comerciales innovadoras y la coordinación de acciones multicanal.;Indicador;Porcentaje de cumplimiento de objetivos comerciales estratégicos;;;;;;;
Head De Segmentos;Segmento Personas;GD;SGP Negocio > Segmento Personas > Head De Segmentos;3;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Personas, asegurando la ejecución táctica alineada a la estrategia, el cumplimiento de objetivos comerciales y la mejora continua de la propuesta de valor para cada grupo objetivo.;Genérica;Supervisar y analizar el desempeño comercial por subsegmento. Detectar desvíos y oportunidades, proponer acciones correctivas y articular la implementación con áreas transversales.;Informe de Performance Comercial Consolidado;;;;;;
Head De Segmentos;Segmento Personas;GD;SGP Negocio > Segmento Personas > Head De Segmentos;3;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Personas, asegurando la ejecución táctica alineada a la estrategia, el cumplimiento de objetivos comerciales y la mejora continua de la propuesta de valor para cada grupo objetivo.;Específica;Monitorear el cumplimiento de los objetivos comerciales por subsegmento.;Tablero de Seguimiento Comercial;20;;;;;
Head De Segmentos;Segmento Personas;GD;SGP Negocio > Segmento Personas > Head De Segmentos;3;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Personas, asegurando la ejecución táctica alineada a la estrategia, el cumplimiento de objetivos comerciales y la mejora continua de la propuesta de valor para cada grupo objetivo.;Específica;Coordinar tácticamente la ejecución de acciones comerciales según prioridades y desvíos.;Acciones Comerciales Ejecutadas;20;;;;;
Head De Segmentos;Segmento Personas;GD;SGP Negocio > Segmento Personas > Head De Segmentos;3;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Personas, asegurando la ejecución táctica alineada a la estrategia, el cumplimiento de objetivos comerciales y la mejora continua de la propuesta de valor para cada grupo objetivo.;Específica;Integrar y reportar resultados comerciales por subsegmento, identificando patrones de mejora o riesgo.;Reporte de Gestión Comercial Integrado;20;;;;;
Head De Segmentos;Segmento Personas;GD;SGP Negocio > Segmento Personas > Head De Segmentos;3;0;Sí;Estratégico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Personas, asegurando la ejecución táctica alineada a la estrategia, el cumplimiento de objetivos comerciales y la mejora continua de la propuesta de valor para cada grupo objetivo.;Genérica;Coordinar a los equipos responsables de cada subsegmento, asegurando alineación táctica, coherencia operativa y cumplimiento de metas.;Plan de Gestión por Subsegmento;;;;;;
Head De Segmentos;Segmento Personas;GD;SGP Negocio > Segmento Personas > Head De Segmentos;3;0;Sí;Estratégico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Personas, asegurando la ejecución táctica alineada a la estrategia, el cumplimiento de objetivos comerciales y la mejora continua de la propuesta de valor para cada grupo objetivo.;Específica;Supervisar e implementar mecanismos de control y seguimiento que aseguren el cumplimiento de políticas internas.;Informe de Alineamiento Estratégico;20;;;;;
Head De Segmentos;Segmento Personas;GD;SGP Negocio > Segmento Personas > Head De Segmentos;3;0;Sí;Estratégico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Personas, asegurando la ejecución táctica alineada a la estrategia, el cumplimiento de objetivos comerciales y la mejora continua de la propuesta de valor para cada grupo objetivo.;Específica;Evaluar y retroalimentar propuestas de valor y resultados comerciales para cada subsegmento.;Propuestas Mejoradas por Subsegmento;20;;;;;
Head De Segmentos;Segmento Personas;GD;SGP Negocio > Segmento Personas > Head De Segmentos;3;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Personas, asegurando la ejecución táctica alineada a la estrategia, el cumplimiento de objetivos comerciales y la mejora continua de la propuesta de valor para cada grupo objetivo.;Indicador;Porcentaje de cumplimiento de objetivos comerciales por subsegmento;;;;;;;
Head De Segmentos;Segmento Personas;GD;SGP Negocio > Segmento Personas > Head De Segmentos;3;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Personas, asegurando la ejecución táctica alineada a la estrategia, el cumplimiento de objetivos comerciales y la mejora continua de la propuesta de valor para cada grupo objetivo.;Indicador;Tasa de crecimiento de ventas por subsegmento;;;;;;;
Head De Segmentos;Segmento Personas;GD;SGP Negocio > Segmento Personas > Head De Segmentos;3;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Personas, asegurando la ejecución táctica alineada a la estrategia, el cumplimiento de objetivos comerciales y la mejora continua de la propuesta de valor para cada grupo objetivo.;Indicador;Número de acciones comerciales ejecutadas exitosamente;;;;;;;
Head De Segmentos;Segmento Personas;GD;SGP Negocio > Segmento Personas > Head De Segmentos;3;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Personas, asegurando la ejecución táctica alineada a la estrategia, el cumplimiento de objetivos comerciales y la mejora continua de la propuesta de valor para cada grupo objetivo.;Indicador;Tiempo promedio de respuesta a desvíos comerciales;;;;;;;
Head De Segmentos;Segmento Personas;GD;SGP Negocio > Segmento Personas > Head De Segmentos;3;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Personas, asegurando la ejecución táctica alineada a la estrategia, el cumplimiento de objetivos comerciales y la mejora continua de la propuesta de valor para cada grupo objetivo.;Indicador;Satisfacción del cliente por subsegmento;;;;;;;
Head De Segmentos;Segmento Personas;GD;SGP Negocio > Segmento Personas > Head De Segmentos;3;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Personas, asegurando la ejecución táctica alineada a la estrategia, el cumplimiento de objetivos comerciales y la mejora continua de la propuesta de valor para cada grupo objetivo.;Indicador;ROI de las acciones comerciales por subsegmento;;;;;;;
Head De Segmentos;Segmento Personas;GD;SGP Negocio > Segmento Personas > Head De Segmentos;3;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Personas, asegurando la ejecución táctica alineada a la estrategia, el cumplimiento de objetivos comerciales y la mejora continua de la propuesta de valor para cada grupo objetivo.;Indicador;Número de propuestas de valor mejoradas implementadas;;;;;;;
Head De Segmentos;Segmento Personas;GD;SGP Negocio > Segmento Personas > Head De Segmentos;3;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Personas, asegurando la ejecución táctica alineada a la estrategia, el cumplimiento de objetivos comerciales y la mejora continua de la propuesta de valor para cada grupo objetivo.;Indicador;Porcentaje de alineamiento estratégico entre subsegmentos;;;;;;;
Head De Segmentos Empresas;Segmento Empresas;GD;SGP Negocio > Segmento Empresas > Head De Segmentos;3;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Empresas, asegurando el cumplimiento de objetivos comerciales, la ejecución táctica alineada a la estrategia del banco y la articulación de acciones correctivas y de mejora con las áreas clave como Productos, Canales y Regiones.;Genérica;Monitorear la performance comercial de cada subsegmento del Segmento Empresas, identificar desvíos y oportunidades, y proponer acciones de ajuste.;Informe Consolidado de Gestión Comercial;;;;;;
Head De Segmentos Empresas;Segmento Empresas;GD;SGP Negocio > Segmento Empresas > Head De Segmentos;3;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Empresas, asegurando el cumplimiento de objetivos comerciales, la ejecución táctica alineada a la estrategia del banco y la articulación de acciones correctivas y de mejora con las áreas clave como Productos, Canales y Regiones.;Específica;Monitorear cumplimiento de objetivos comerciales por subsegmento y generar reportes ejecutivos.;;0.0;;;;;
Head De Segmentos Empresas;Segmento Empresas;GD;SGP Negocio > Segmento Empresas > Head De Segmentos;3;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Empresas, asegurando el cumplimiento de objetivos comerciales, la ejecución táctica alineada a la estrategia del banco y la articulación de acciones correctivas y de mejora con las áreas clave como Productos, Canales y Regiones.;Específica;Proponer tácticas correctivas e impulsar acciones comerciales según desvíos.;Plan de Mejora Comercial por Subsegmento;12.5;;;;;
Head De Segmentos Empresas;Segmento Empresas;GD;SGP Negocio > Segmento Empresas > Head De Segmentos;3;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Empresas, asegurando el cumplimiento de objetivos comerciales, la ejecución táctica alineada a la estrategia del banco y la articulación de acciones correctivas y de mejora con las áreas clave como Productos, Canales y Regiones.;Específica;Articular con otras áreas las acciones requeridas para el cumplimiento de metas comerciales.;Acciones Comerciales Coordinadas;12.5;;;;;
Head De Segmentos Empresas;Segmento Empresas;GD;SGP Negocio > Segmento Empresas > Head De Segmentos;3;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Empresas, asegurando el cumplimiento de objetivos comerciales, la ejecución táctica alineada a la estrategia del banco y la articulación de acciones correctivas y de mejora con las áreas clave como Productos, Canales y Regiones.;Genérica;Coordinar la ejecución táctica de acciones transversales con canales, productos, marketing y regiones.;Tablero Integrado de Performance;;;;;;
Head De Segmentos Empresas;Segmento Empresas;GD;SGP Negocio > Segmento Empresas > Head De Segmentos;3;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Empresas, asegurando el cumplimiento de objetivos comerciales, la ejecución táctica alineada a la estrategia del banco y la articulación de acciones correctivas y de mejora con las áreas clave como Productos, Canales y Regiones.;Específica;Articular con otras áreas acciones requeridas para el cumplimiento de metas comerciales.;Acciones Comerciales Coordinadas;12.5;;;;;
Head De Segmentos Empresas;Segmento Empresas;GD;SGP Negocio > Segmento Empresas > Head De Segmentos;3;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Empresas, asegurando el cumplimiento de objetivos comerciales, la ejecución táctica alineada a la estrategia del banco y la articulación de acciones correctivas y de mejora con las áreas clave como Productos, Canales y Regiones.;Específica;Consolidar e interpretar datos de performance comercial con foco en oportunidades de mejora.;Reporte de Desempeño Comercial;12.5;;;;;
Head De Segmentos Empresas;Segmento Empresas;GD;SGP Negocio > Segmento Empresas > Head De Segmentos;3;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Empresas, asegurando el cumplimiento de objetivos comerciales, la ejecución táctica alineada a la estrategia del banco y la articulación de acciones correctivas y de mejora con las áreas clave como Productos, Canales y Regiones.;Específica;Identificar tendencias comerciales por subsegmento y recomendar acciones futuras.;Recomendaciones de Gestión Comercial;12.5;;;;;
Head De Segmentos Empresas;Segmento Empresas;GD;SGP Negocio > Segmento Empresas > Head De Segmentos;3;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Empresas, asegurando el cumplimiento de objetivos comerciales, la ejecución táctica alineada a la estrategia del banco y la articulación de acciones correctivas y de mejora con las áreas clave como Productos, Canales y Regiones.;Específica;Validar consistencia entre estrategia, segmentación y ejecución en los subsegmentos.;Informe de Alineación Táctica;12.5;;;;;
Head De Segmentos Empresas;Segmento Empresas;GD;SGP Negocio > Segmento Empresas > Head De Segmentos;3;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Empresas, asegurando el cumplimiento de objetivos comerciales, la ejecución táctica alineada a la estrategia del banco y la articulación de acciones correctivas y de mejora con las áreas clave como Productos, Canales y Regiones.;Específica;Acompañar lanzamientos de productos o campañas comerciales dirigidas a subsegmentos.;Apoyo en Ejecución Comercial Segmentada;12.5;;;;;
Head De Segmentos Empresas;Segmento Empresas;GD;SGP Negocio > Segmento Empresas > Head De Segmentos;3;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Empresas, asegurando el cumplimiento de objetivos comerciales, la ejecución táctica alineada a la estrategia del banco y la articulación de acciones correctivas y de mejora con las áreas clave como Productos, Canales y Regiones.;Específica;Supervisar la adopción de herramientas de seguimiento por parte de las áreas bajo su influencia.;Informe de Adopción de Herramientas;12.5;;;;;
Head De Segmentos Empresas;Segmento Empresas;GD;SGP Negocio > Segmento Empresas > Head De Segmentos;3;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Empresas, asegurando el cumplimiento de objetivos comerciales, la ejecución táctica alineada a la estrategia del banco y la articulación de acciones correctivas y de mejora con las áreas clave como Productos, Canales y Regiones.;Indicador;Porcentaje de cumplimiento de objetivos comerciales por subsegmento empresarial;;;;;;;
