Unidad Organizativa;Reporta A;Jerarquía;Línea de Reporte;Nivel Jerárquico Calculado;Unidades que Reportan Directamente;Responsable de Gestión de Otras;Nivel Funcional Esperado;Misión;Tipo de Función;Descripción;Producto Final;Porcentaje Dedicación
Estrategia Comercial Y Propuesta De Valor;Segmento Empresas;GD;Sgp Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;4.0;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor del Segmento Empresas, asegurando su alineación con la estrategia comercial del banco, los objetivos institucionales y la mejora continua de la experiencia del cliente, mediante el análisis de segmentos productivos, el diseño de soluciones comerciales innovadoras y la coordinación de acciones multicanal.;Específica;Evaluar la performance de las acciones comerciales vinculadas a la propuesta de valor.;Informe de Impacto Comercial;12,5
Estrategia Comercial Y Propuesta De Valor;Segmento Empresas;GD;Sgp Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;4.0;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor del Segmento Empresas, asegurando su alineación con la estrategia comercial del banco, los objetivos institucionales y la mejora continua de la experiencia del cliente, mediante el análisis de segmentos productivos, el diseño de soluciones comerciales innovadoras y la coordinación de acciones multicanal.;Específica;Generar materiales de comunicación y entrenamiento para equipos comerciales sobre nuevas propuestas.;Kit de Propuesta Comercial Interna;12,5
Estrategia Comercial Y Propuesta De Valor;Segmento Empresas;GD;Sgp Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;4.0;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor del Segmento Empresas, asegurando su alineación con la estrategia comercial del banco, los objetivos institucionales y la mejora continua de la experiencia del cliente, mediante el análisis de segmentos productivos, el diseño de soluciones comerciales innovadoras y la coordinación de acciones multicanal.;Específica;Realizar benchmarking y análisis de tendencias de mercado en productos para empresas.;Reporte de Tendencias y Mejores Prácticas;12,5
Estrategia Comercial Y Propuesta De Valor;Segmento Empresas;GD;Sgp Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;4.0;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor del Segmento Empresas, asegurando su alineación con la estrategia comercial del banco, los objetivos institucionales y la mejora continua de la experiencia del cliente, mediante el análisis de segmentos productivos, el diseño de soluciones comerciales innovadoras y la coordinación de acciones multicanal.;Específica;Articular campañas comerciales con Canales Digitales y Sucursales.;Campañas Ejecutadas Multicanal;12,5
Estrategia Comercial Y Propuesta De Valor;Segmento Empresas;GD;Sgp Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;4.0;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor del Segmento Empresas, asegurando su alineación con la estrategia comercial del banco, los objetivos institucionales y la mejora continua de la experiencia del cliente, mediante el análisis de segmentos productivos, el diseño de soluciones comerciales innovadoras y la coordinación de acciones multicanal.;Específica;Diseñar indicadores de éxito de las propuestas y supervisar su medición.;Tablero de Seguimiento Estratégico;12,5
Head De Segmentos;Segmento Personas;GD;Sgp Negocio > Segmento Personas > Head De Segmentos;4.0;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Personas, asegurando la ejecución táctica alineada a la estrategia, el cumplimiento de objetivos comerciales y la mejora continua de la propuesta de valor para cada grupo objetivo.;Genérica;Supervisar y analizar el desempeño comercial por subsegmento. Detectar desvíos y oportunidades, proponer acciones correctivas y articular la implementación con áreas transversales.;Informe de Performance Comercial Consolidado;
Head De Segmentos;Segmento Personas;GD;Sgp Negocio > Segmento Personas > Head De Segmentos;4.0;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Personas, asegurando la ejecución táctica alineada a la estrategia, el cumplimiento de objetivos comerciales y la mejora continua de la propuesta de valor para cada grupo objetivo.;Específica;Monitorear el cumplimiento de los objetivos comerciales por subsegmento.;Tablero de Seguimiento Comercial;20
Head De Segmentos;Segmento Personas;GD;Sgp Negocio > Segmento Personas > Head De Segmentos;4.0;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Personas, asegurando la ejecución táctica alineada a la estrategia, el cumplimiento de objetivos comerciales y la mejora continua de la propuesta de valor para cada grupo objetivo.;Específica;Coordinar tácticamente la ejecución de acciones comerciales según prioridades y desvíos.;Acciones Comerciales Ejecutadas;20
Head De Segmentos;Segmento Personas;GD;Sgp Negocio > Segmento Personas > Head De Segmentos;4.0;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Personas, asegurando la ejecución táctica alineada a la estrategia, el cumplimiento de objetivos comerciales y la mejora continua de la propuesta de valor para cada grupo objetivo.;Específica;Integrar y reportar resultados comerciales por subsegmento, identificando patrones de mejora o riesgo.;Reporte de Gestión Comercial Integrado;20
Head De Segmentos;Segmento Personas;GD;Sgp Negocio > Segmento Personas > Head De Segmentos;3.0;0;Sí;Estratégico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Personas, asegurando la ejecución táctica alineada a la estrategia, el cumplimiento de objetivos comerciales y la mejora continua de la propuesta de valor para cada grupo objetivo.;Genérica;Coordinar a los equipos responsables de cada subsegmento, asegurando alineación táctica, coherencia operativa y cumplimiento de metas.;Plan de Gestión por Subsegmento;
Head De Segmentos;Segmento Personas;GD;Sgp Negocio > Segmento Personas > Head De Segmentos;3.0;0;Sí;Estratégico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Personas, asegurando la ejecución táctica alineada a la estrategia, el cumplimiento de objetivos comerciales y la mejora continua de la propuesta de valor para cada grupo objetivo.;Específica;Asegurar el alineamiento estratégico de todos los subsegmentos con la visión general del Segmento Personas.;Informe de Alineamiento Estratégico;20
Head De Segmentos;Segmento Personas;GD;Sgp Negocio > Segmento Personas > Head De Segmentos;3.0;0;Sí;Estratégico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Personas, asegurando la ejecución táctica alineada a la estrategia, el cumplimiento de objetivos comerciales y la mejora continua de la propuesta de valor para cada grupo objetivo.;Específica;Evaluar y retroalimentar propuestas de valor y resultados comerciales para cada subsegmento.;Propuestas Mejoradas por Subsegmento;20
Head De Segmentos;Segmento Empresas;GD;Sgp Negocio > Segmento Empresas > Head De Segmentos;4.0;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Empresas, asegurando el cumplimiento de objetivos comerciales, la ejecución táctica alineada a la estrategia del banco y la articulación de acciones correctivas y de mejora con las áreas clave como Productos, Canales y Regiones.;Genérica;Monitorear la performance comercial de cada subsegmento del Segmento Empresas, identificar desvíos y oportunidades, y proponer acciones de ajuste.;Informe Consolidado de Gestión Comercial;
Head De Segmentos;Segmento Empresas;GD;Sgp Negocio > Segmento Empresas > Head De Segmentos;4.0;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Empresas, asegurando el cumplimiento de objetivos comerciales, la ejecución táctica alineada a la estrategia del banco y la articulación de acciones correctivas y de mejora con las áreas clave como Productos, Canales y Regiones.;Específica;Monitorear cumplimiento de objetivos comerciales por subsegmento y generar reportes ejecutivos.;;
Head De Segmentos;Segmento Empresas;GD;Sgp Negocio > Segmento Empresas > Head De Segmentos;4.0;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Empresas, asegurando el cumplimiento de objetivos comerciales, la ejecución táctica alineada a la estrategia del banco y la articulación de acciones correctivas y de mejora con las áreas clave como Productos, Canales y Regiones.;Específica;Proponer tácticas correctivas e impulsar acciones comerciales según desvíos.;Plan de Mejora Comercial por Subsegmento;12,5
Head De Segmentos;Segmento Empresas;GD;Sgp Negocio > Segmento Empresas > Head De Segmentos;4.0;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Empresas, asegurando el cumplimiento de objetivos comerciales, la ejecución táctica alineada a la estrategia del banco y la articulación de acciones correctivas y de mejora con las áreas clave como Productos, Canales y Regiones.;Específica;Articular con otras áreas las acciones requeridas para el cumplimiento de metas comerciales.;Acciones Comerciales Coordinadas;12,5
Head De Segmentos;Segmento Empresas;GD;Sgp Negocio > Segmento Empresas > Head De Segmentos;4.0;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Empresas, asegurando el cumplimiento de objetivos comerciales, la ejecución táctica alineada a la estrategia del banco y la articulación de acciones correctivas y de mejora con las áreas clave como Productos, Canales y Regiones.;Genérica;Coordinar la ejecución táctica de acciones transversales con canales, productos, marketing y regiones.;Tablero Integrado de Performance;
Head De Segmentos;Segmento Empresas;GD;Sgp Negocio > Segmento Empresas > Head De Segmentos;4.0;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Empresas, asegurando el cumplimiento de objetivos comerciales, la ejecución táctica alineada a la estrategia del banco y la articulación de acciones correctivas y de mejora con las áreas clave como Productos, Canales y Regiones.;Específica;Articular con otras áreas acciones requeridas para el cumplimiento de metas comerciales.;Acciones Comerciales Coordinadas;12,5
Head De Segmentos;Segmento Empresas;GD;Sgp Negocio > Segmento Empresas > Head De Segmentos;4.0;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Empresas, asegurando el cumplimiento de objetivos comerciales, la ejecución táctica alineada a la estrategia del banco y la articulación de acciones correctivas y de mejora con las áreas clave como Productos, Canales y Regiones.;Específica;Consolidar e interpretar datos de performance comercial con foco en oportunidades de mejora.;Reporte de Desempeño Comercial;12,5
Head De Segmentos;Segmento Empresas;GD;Sgp Negocio > Segmento Empresas > Head De Segmentos;4.0;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Empresas, asegurando el cumplimiento de objetivos comerciales, la ejecución táctica alineada a la estrategia del banco y la articulación de acciones correctivas y de mejora con las áreas clave como Productos, Canales y Regiones.;Específica;Identificar tendencias comerciales por subsegmento y recomendar acciones futuras.;Recomendaciones de Gestión Comercial;12,5
Head De Segmentos;Segmento Empresas;GD;Sgp Negocio > Segmento Empresas > Head De Segmentos;4.0;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Empresas, asegurando el cumplimiento de objetivos comerciales, la ejecución táctica alineada a la estrategia del banco y la articulación de acciones correctivas y de mejora con las áreas clave como Productos, Canales y Regiones.;Específica;Validar consistencia entre estrategia, segmentación y ejecución en los subsegmentos.;Informe de Alineación Táctica;12,5
Head De Segmentos;Segmento Empresas;GD;Sgp Negocio > Segmento Empresas > Head De Segmentos;4.0;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Empresas, asegurando el cumplimiento de objetivos comerciales, la ejecución táctica alineada a la estrategia del banco y la articulación de acciones correctivas y de mejora con las áreas clave como Productos, Canales y Regiones.;Específica;Acompañar lanzamientos de productos o campañas comerciales dirigidas a subsegmentos.;Apoyo en Ejecución Comercial Segmentada;12,5
Head De Segmentos;Segmento Empresas;GD;Sgp Negocio > Segmento Empresas > Head De Segmentos;4.0;0;No;Táctico;Coordinar y supervisar el desempeño comercial de los subsegmentos del Segmento Empresas, asegurando el cumplimiento de objetivos comerciales, la ejecución táctica alineada a la estrategia del banco y la articulación de acciones correctivas y de mejora con las áreas clave como Productos, Canales y Regiones.;Específica;Supervisar la adopción de herramientas de seguimiento por parte de las áreas bajo su influencia.;Informe de Adopción de Herramientas;12,5
Inteligencia Comercial;Segmento Personas;SGD;Sgp Negocio > Segmento Personas > Inteligencia Comercial;4.0;0;No;Táctico;Brindar soporte analítico, segmentado y predictivo al Segmento Personas, a través de la visualización de datos comerciales, la identificación de oportunidades de negocio y la generación de insights que contribuyan a la eficiencia, alineación estratégica y mejora continua de la gestión comercial.;Genérica;Diseñar e implementar tableros comerciales que permitan monitorear la gestión del segmento y sus subsegmentos.;Tablero Comercial Integrado;
Inteligencia Comercial;Segmento Personas;SGD;Sgp Negocio > Segmento Personas > Inteligencia Comercial;4.0;0;No;Táctico;Brindar soporte analítico, segmentado y predictivo al Segmento Personas, a través de la visualización de datos comerciales, la identificación de oportunidades de negocio y la generación de insights que contribuyan a la eficiencia, alineación estratégica y mejora continua de la gestión comercial.;Específica;Construir dashboards de gestión comercial, indicadores clave y paneles de monitoreo.;Dashboards de Gestión Comercial;12,5
Inteligencia Comercial;Segmento Personas;SGD;Sgp Negocio > Segmento Personas > Inteligencia Comercial;4.0;0;No;Táctico;Brindar soporte analítico, segmentado y predictivo al Segmento Personas, a través de la visualización de datos comerciales, la identificación de oportunidades de negocio y la generación de insights que contribuyan a la eficiencia, alineación estratégica y mejora continua de la gestión comercial.;Específica;Detectar oportunidades mediante análisis de comportamiento de clientes, canales y productos.;Alertas y Oportunidades Comerciales;12,5
Inteligencia Comercial;Segmento Personas;SGD;Sgp Negocio > Segmento Personas > Inteligencia Comercial;4.0;0;No;Táctico;Brindar soporte analítico, segmentado y predictivo al Segmento Personas, a través de la visualización de datos comerciales, la identificación de oportunidades de negocio y la generación de insights que contribuyan a la eficiencia, alineación estratégica y mejora continua de la gestión comercial.;Específica;Ejecutar segmentaciones avanzadas de clientes, productos y geografías.;Modelos de Segmentación Comercial;12,5
Inteligencia Comercial;Segmento Personas;SGD;Sgp Negocio > Segmento Personas > Inteligencia Comercial;4.0;0;No;Analítico;Brindar soporte analítico, segmentado y predictivo al Segmento Personas, a través de la visualización de datos comerciales, la identificación de oportunidades de negocio y la generación de insights que contribuyan a la eficiencia, alineación estratégica y mejora continua de la gestión comercial.;Genérica;Consolidar información de performance comercial y generar reportes estratégicos segmentados.;Reportes de Inteligencia Comercial;
Inteligencia Comercial;Segmento Personas;SGD;Sgp Negocio > Segmento Personas > Inteligencia Comercial;4.0;0;No;Analítico;Brindar soporte analítico, segmentado y predictivo al Segmento Personas, a través de la visualización de datos comerciales, la identificación de oportunidades de negocio y la generación de insights que contribuyan a la eficiencia, alineación estratégica y mejora continua de la gestión comercial.;Específica;Elaborar modelos de propensión, scoring y predicción de comportamiento;Modelos de Scoring y Propensión;12,5
Inteligencia Comercial;Segmento Personas;SGD;Sgp Negocio > Segmento Personas > Inteligencia Comercial;4.0;0;No;Analítico;Brindar soporte analítico, segmentado y predictivo al Segmento Personas, a través de la visualización de datos comerciales, la identificación de oportunidades de negocio y la generación de insights que contribuyan a la eficiencia, alineación estratégica y mejora continua de la gestión comercial.;Específica;Realizar análisis multivariado y estudios ad hoc para decisiones comerciales.;Estudios e Insights por Segmento;12,5
Inteligencia Comercial;Segmento Personas;SGD;Gerencia General > Sgp Clientes > Segmento Personas > Inteligencia Comercial;4.0;0;No;Analítico;Brindar soporte analítico, segmentado y predictivo al Segmento Personas, a través de la visualización de datos comerciales, la identificación de oportunidades de negocio y la generación de insights que contribuyan a la eficiencia, alineación estratégica y mejora continua de la gestión comercial.;Genérica;Aplicar modelos de análisis predictivo y segmentación para identificar desvíos, oportunidades y patrones de comportamiento.;Modelos y Alertas de Decisión Comercial;
Inteligencia Comercial;Segmento Personas;SGD;Gerencia General > Sgp Clientes > Segmento Personas > Inteligencia Comercial;4.0;0;No;Analítico;Brindar soporte analítico, segmentado y predictivo al Segmento Personas, a través de la visualización de datos comerciales, la identificación de oportunidades de negocio y la generación de insights que contribuyan a la eficiencia, alineación estratégica y mejora continua de la gestión comercial.;Específica;Generar reportes de performance de campañas, productos y subsegmentos con foco en eficiencia y mejora.;Informes de Performance Segmentada;37,5
Inteligencia Comercial;Segmento Empresas;SGD;Sgp Negocio > Segmento Empresas > Inteligencia Comercial;4.0;0;No;Táctico;Brindar soporte analítico y estratégico al Segmento Empresas mediante el procesamiento, análisis y visualización de datos comerciales. Identificar oportunidades de negocio, generar modelos predictivos, realizar benchmarking competitivo y promover la eficiencia en la toma de decisiones comerciales.;Genérica;Elaborar informes de performance comercial, análisis de comportamiento de empresas, y modelos de segmentación que respalden decisiones de negocio.;Informes de Inteligencia Comercial para Empresas;
Inteligencia Comercial;Segmento Empresas;SGD;Sgp Negocio > Segmento Empresas > Inteligencia Comercial;4.0;0;No;Táctico;Brindar soporte analítico y estratégico al Segmento Empresas mediante el procesamiento, análisis y visualización de datos comerciales. Identificar oportunidades de negocio, generar modelos predictivos, realizar benchmarking competitivo y promover la eficiencia en la toma de decisiones comerciales.;Específica;Construir tableros de seguimiento para la gestión comercial del segmento Empresas.;Tableros de Performance Comercial;12,5
Inteligencia Comercial;Segmento Empresas;SGD;Sgp Negocio > Segmento Empresas > Inteligencia Comercial;4.0;0;No;Táctico;Brindar soporte analítico y estratégico al Segmento Empresas mediante el procesamiento, análisis y visualización de datos comerciales. Identificar oportunidades de negocio, generar modelos predictivos, realizar benchmarking competitivo y promover la eficiencia en la toma de decisiones comerciales.;Específica;Analizar comportamientos comerciales y detectar oportunidades de gestión empresarial.;Oportunidades Comerciales Segmentadas;12,5
Inteligencia Comercial;Segmento Empresas;SGD;Sgp Negocio > Segmento Empresas > Inteligencia Comercial;4.0;0;No;Táctico;Brindar soporte analítico y estratégico al Segmento Empresas mediante el procesamiento, análisis y visualización de datos comerciales. Identificar oportunidades de negocio, generar modelos predictivos, realizar benchmarking competitivo y promover la eficiencia en la toma de decisiones comerciales.;Específica;Desarrollar modelos analíticos de segmentación y comportamiento empresarial.;Modelos Predictivos y Segmentación;12,5
Inteligencia Comercial;Segmento Empresas;SGD;Gerencia General > Sgp Clientes > Segmento Empresas > Inteligencia Comercial;4.0;0;No;Analítico;Brindar soporte analítico y estratégico al Segmento Empresas mediante el procesamiento, análisis y visualización de datos comerciales. Identificar oportunidades de negocio, generar modelos predictivos, realizar benchmarking competitivo y promover la eficiencia en la toma de decisiones comerciales.;Genérica;Construir tableros y reportes por segmento, industria y producto;Dashboard Comercial Empresas;
Inteligencia Comercial;Segmento Empresas;SGD;Gerencia General > Sgp Clientes > Segmento Empresas > Inteligencia Comercial;4.0;0;No;Analítico;Brindar soporte analítico y estratégico al Segmento Empresas mediante el procesamiento, análisis y visualización de datos comerciales. Identificar oportunidades de negocio, generar modelos predictivos, realizar benchmarking competitivo y promover la eficiencia en la toma de decisiones comerciales.;Específica;Elaborar reportes periódicos de performance de campañas y productos.;Informes de Efectividad Comercial;12,5
Inteligencia Comercial;Segmento Empresas;SGD;Gerencia General > Sgp Clientes > Segmento Empresas > Inteligencia Comercial;4.0;0;No;Analítico;Brindar soporte analítico y estratégico al Segmento Empresas mediante el procesamiento, análisis y visualización de datos comerciales. Identificar oportunidades de negocio, generar modelos predictivos, realizar benchmarking competitivo y promover la eficiencia en la toma de decisiones comerciales.;Genérica;Realizar benchmarking de performance comercial vs. bancos pares;Informe de Competencia;
Inteligencia Comercial;Segmento Empresas;SGD;Gerencia General > Sgp Clientes > Segmento Empresas > Inteligencia Comercial;4.0;0;No;Analítico;Brindar soporte analítico y estratégico al Segmento Empresas mediante el procesamiento, análisis y visualización de datos comerciales. Identificar oportunidades de negocio, generar modelos predictivos, realizar benchmarking competitivo y promover la eficiencia en la toma de decisiones comerciales.;Específica;Analizar rentabilidad por cliente, tipo de empresa y producto;y sugerir ajustes en la oferta.;Modelo de Rentabilidad de Clientes
Inteligencia Comercial;Segmento Empresas;SGD;Sgp Negocio > Segmento Empresas > Inteligencia Comercial;4.0;0;No;Táctico;Brindar soporte analítico y estratégico al Segmento Empresas mediante el procesamiento, análisis y visualización de datos comerciales. Identificar oportunidades de negocio, generar modelos predictivos, realizar benchmarking competitivo y promover la eficiencia en la toma de decisiones comerciales.;Específica;Identificar desvíos y proponer ajustes mediante modelos analíticos aplicados.;Reporte de Desvíos Comerciales;12,5
Inteligencia Comercial;Segmento Empresas;SGD;Sgp Negocio > Segmento Empresas > Inteligencia Comercial;4.0;0;No;Táctico;Brindar soporte analítico y estratégico al Segmento Empresas mediante el procesamiento, análisis y visualización de datos comerciales. Identificar oportunidades de negocio, generar modelos predictivos, realizar benchmarking competitivo y promover la eficiencia en la toma de decisiones comerciales.;Específica;Generar recomendaciones accionables para estrategias de fidelización o desarrollo de cuentas clave.;Recomendaciones para Gestión de Clientes;12,5
Inteligencia Comercial;Segmento Empresas;SGD;Sgp Negocio > Segmento Empresas > Inteligencia Comercial;4.0;0;No;Táctico;Brindar soporte analítico y estratégico al Segmento Empresas mediante el procesamiento, análisis y visualización de datos comerciales. Identificar oportunidades de negocio, generar modelos predictivos, realizar benchmarking competitivo y promover la eficiencia en la toma de decisiones comerciales.;Específica;Realizar estudios ad hoc según requerimientos del segmento o gerencia general.;Estudios Comerciales Especiales;12,5
Comunicaciones Y Eventos;Segmento Personas;SGD;Sgp Negocio > Segmento Personas > Comunicaciones Y Eventos;4.0;0;No;Táctico;Diseñar, planificar y ejecutar campañas de comunicación y eventos institucionales para el Segmento Personas, fortaleciendo el vínculo con los públicos objetivos, posicionando la propuesta de valor del Banco Nación e impulsando su imagen institucional con una mirada coordinada, multicanal y centrada en el cliente.;Genérica;Coordinar el diseño de campañas de comunicación para el segmento, articulando con Marketing, Canales y Productos.;Plan de Comunicación del Segmento Personas;
Comunicaciones Y Eventos;Segmento Personas;SGD;Sgp Negocio > Segmento Personas > Comunicaciones Y Eventos;4.0;0;No;Táctico;Diseñar, planificar y ejecutar campañas de comunicación y eventos institucionales para el Segmento Personas, fortaleciendo el vínculo con los públicos objetivos, posicionando la propuesta de valor del Banco Nación e impulsando su imagen institucional con una mirada coordinada, multicanal y centrada en el cliente.;Específica;Diseñar e implementar campañas de comunicación específicas para el segmento.;Campañas Comunicacionales Ejecutadas;12,5
