Unidad Organizativa;Reporta A;Jerarquía;Línea de Reporte;Nivel Jerárquico Calculado;Unidades que Reportan Directamente;Responsable de Gestión de Otras;Nivel Funcional Esperado;Misión;Tipo de Función;Descripción;Producto Final;Porcentaje Dedicación
Medios De Pago;Sgp Negocios;GD;Sgp Negocio > Medios de Pago;3;4;Sí;Táctico;Diseñar, desarrollar y gestionar los medios de pago físicos y digitales del banco, promoviendo la inclusión financiera, la innovación tecnológica, la eficiencia operativa y la seguridad en las transacciones, con foco en la experiencia del cliente.;Genérica;Definir la estrategia y coordinar la evolución de los medios de pago. Supervisar el desarrollo, mantenimiento y modernización de las soluciones de pago. Colaborar con áreas de tecnología, productos y canales para la integración operativa.;Estrategia Integral de Medios de Pago;
Medios De Pago;Sgp Negocios;GD;Sgp Negocio > Medios de Pago;3;4;Sí;Táctico;Diseñar, desarrollar y gestionar los medios de pago físicos y digitales del banco, promoviendo la inclusión financiera, la innovación tecnológica, la eficiencia operativa y la seguridad en las transacciones, con foco en la experiencia del cliente.;Específica;Gestionar el mantenimiento y evolución funcional de las soluciones de medios de pago.;Plataformas de Pago Operativas y Actualizadas;20
Medios De Pago;Sgp Negocios;GD;Sgp Negocio > Medios de Pago;3;4;Sí;Táctico;Diseñar, desarrollar y gestionar los medios de pago físicos y digitales del banco, promoviendo la inclusión financiera, la innovación tecnológica, la eficiencia operativa y la seguridad en las transacciones, con foco en la experiencia del cliente.;Específica;Coordinar el desarrollo de nuevas funcionalidades y soluciones innovadoras de pago.;Funcionalidades Nuevas en Medios de Pago;20
Medios De Pago;Sgp Negocios;GD;Sgp Negocio > Medios de Pago;3;4;Sí;Táctico;Diseñar, desarrollar y gestionar los medios de pago físicos y digitales del banco, promoviendo la inclusión financiera, la innovación tecnológica, la eficiencia operativa y la seguridad en las transacciones, con foco en la experiencia del cliente.;Específica;Gestionar la operación, calidad y performance de la red de adquirencia del banco.;Red de Adquirencia Eficiente;20
Medios De Pago;Sgp Negocios;GD;Sgp Negocio > Medios de Pago;3;4;Sí;Táctico;Diseñar, desarrollar y gestionar los medios de pago físicos y digitales del banco, promoviendo la inclusión financiera, la innovación tecnológica, la eficiencia operativa y la seguridad en las transacciones, con foco en la experiencia del cliente.;Específica;Coordinar servicios de recaudación y alianzas operativas asociadas.;Plataformas de Recaudación Operativas;20
Medios De Pago;Sgp Negocios;GD;Sgp Negocio > Medios de Pago;3;4;Sí;Estratégico;Diseñar, desarrollar y gestionar los medios de pago físicos y digitales del banco, promoviendo la inclusión financiera, la innovación tecnológica, la eficiencia operativa y la seguridad en las transacciones, con foco en la experiencia del cliente.;Genérica;Coordinar ejes de innovación, operación y gestión comercial de medios de pago.;Plan Estratégico de Medios de Pago;
Medios De Pago;Sgp Negocios;GD;Sgp Negocio > Medios de Pago;3;4;Sí;Estratégico;Diseñar, desarrollar y gestionar los medios de pago físicos y digitales del banco, promoviendo la inclusión financiera, la innovación tecnológica, la eficiencia operativa y la seguridad en las transacciones, con foco en la experiencia del cliente.;Específica;Supervisar ejecución de equipos de desarrollo, adquirencia, recaudación y mantenimiento.;Tablero de Gestión Estratégica;20
Canales;Sgp Negocios;SG;Sgp Negocio > Canales;2;5;Sí;Táctico-Estratégico;Conducir la estrategia integral de canales de atención del banco, impulsando la transformación digital, la innovación tecnológica y la mejora continua, para ofrecer una experiencia simple, accesible, eficiente y alineada al cumplimiento normativo.;Genérica;Definir y coordinar la estrategia multicanal del banco. Supervisar el desempeño de los canales físicos y digitales. Impulsar la innovación en la atención al cliente. Promover la integración entre canales y la mejora continua de procesos y servicios relacionados.;Lineamientos Estratégicos Multicanal;
Canales;Sgp Negocios;SG;Sgp Negocio > Canales;2;5;Sí;Táctico-Estratégico;Conducir la estrategia integral de canales de atención del banco, impulsando la transformación digital, la innovación tecnológica y la mejora continua, para ofrecer una experiencia simple, accesible, eficiente y alineada al cumplimiento normativo.;Específica;Diseñar e implementar la estrategia de atención multicanal del banco.;Estrategia Multicanal Ejecutada;25
Canales;Sgp Negocios;SG;Sgp Negocio > Canales;2;5;Sí;Táctico-Estratégico;Conducir la estrategia integral de canales de atención del banco, impulsando la transformación digital, la innovación tecnológica y la mejora continua, para ofrecer una experiencia simple, accesible, eficiente y alineada al cumplimiento normativo.;Específica;Supervisar la performance de los canales físicos y digitales.;Informe de Performance de Canales;25
Canales;Sgp Negocios;SG;Sgp Negocio > Canales;2;5;Sí;Táctico-Estratégico;Conducir la estrategia integral de canales de atención del banco, impulsando la transformación digital, la innovación tecnológica y la mejora continua, para ofrecer una experiencia simple, accesible, eficiente y alineada al cumplimiento normativo.;Específica;Impulsar la innovación tecnológica aplicada a los canales de atención.;Iniciativas de Innovación en Canales;20
Canales;Sgp Negocios;SG;Sgp Negocio > Canales;2;5;Sí;Táctico-Estratégico;Conducir la estrategia integral de canales de atención del banco, impulsando la transformación digital, la innovación tecnológica y la mejora continua, para ofrecer una experiencia simple, accesible, eficiente y alineada al cumplimiento normativo.;Específica;Promover mejoras continuas en los procesos de atención y experiencia del cliente.;Propuestas de Mejora de Procesos de Atención;20
Canales;Sgp Negocios;SG;Sgp Negocio > Canales;2;5;Sí;Táctico-Estratégico;Conducir la estrategia integral de canales de atención del banco, impulsando la transformación digital, la innovación tecnológica y la mejora continua, para ofrecer una experiencia simple, accesible, eficiente y alineada al cumplimiento normativo.;Específica;Gestionar la integración y consistencia entre los distintos canales de atención.;Modelo de Integración Multicanal;10
Banca Internacional;Sgp Negocios;GD;Sgp Negocio > Banca Internacional;3;0;No;Táctico;Desarrollar, coordinar y gestionar las relaciones internacionales del banco, promoviendo operaciones de comercio exterior, alianzas estratégicas y presencia institucional en el sistema financiero global, en línea con los objetivos comerciales del banco.;Genérica;Establecer políticas y lineamientos para la operatoria internacional. Coordinar con unidades comerciales y operativas para promover el comercio exterior. Gestionar vínculos con bancos corresponsales, organismos multilaterales y redes internacionales.;Estrategia Institucional de Banca Internacional;
Banca Internacional;Sgp Negocios;GD;Sgp Negocio > Banca Internacional;3;0;No;Táctico;Desarrollar, coordinar y gestionar las relaciones internacionales del banco, promoviendo operaciones de comercio exterior, alianzas estratégicas y presencia institucional en el sistema financiero global, en línea con los objetivos comerciales del banco.;Específica;Diseñar y coordinar la estrategia de relaciones internacionales del banco.;Plan de Relaciones Internacionales;20
Banca Internacional;Sgp Negocios;GD;Sgp Negocio > Banca Internacional;3;0;No;Táctico;Desarrollar, coordinar y gestionar las relaciones internacionales del banco, promoviendo operaciones de comercio exterior, alianzas estratégicas y presencia institucional en el sistema financiero global, en línea con los objetivos comerciales del banco.;Específica;Promover convenios y acuerdos con organismos multilaterales y redes bancarias.;Convenios Internacionales;25
Banca Internacional;Sgp Negocios;GD;Sgp Negocio > Banca Internacional;3;0;No;Táctico;Desarrollar, coordinar y gestionar las relaciones internacionales del banco, promoviendo operaciones de comercio exterior, alianzas estratégicas y presencia institucional en el sistema financiero global, en línea con los objetivos comerciales del banco.;Específica;Coordinar la oferta de productos y servicios para comercio exterior.;Productos de Comercio Exterior;30
Banca Internacional;Sgp Negocios;GD;Sgp Negocio > Banca Internacional;3;0;No;Táctico;Desarrollar, coordinar y gestionar las relaciones internacionales del banco, promoviendo operaciones de comercio exterior, alianzas estratégicas y presencia institucional en el sistema financiero global, en línea con los objetivos comerciales del banco.;Específica;Gestionar el vínculo con bancos corresponsales y contrapartes extranjeras.;Relaciones Operativas con Bancos Corresponsales;25
Marketing;Sgp Negocios;GD;Sgp Negocio > Marketing;3;4;Sí;Táctico;Diseñar y ejecutar la estrategia de marketing y comunicación institucional del banco, fortaleciendo el posicionamiento de marca, la conexión con los clientes y la propuesta de valor, a través de canales tradicionales y digitales, con foco en resultados e impacto reputacional.;Genérica;Definir lineamientos de marca, campañas institucionales y acciones promocionales. Supervisar la ejecución del plan de marketing y coordinar con áreas comerciales y de producto. Asegurar coherencia visual y conceptual en todos los puntos de contacto.;Plan de Marketing y Posicionamiento Institucional;
Marketing;Sgp Negocios;GD;Sgp Negocio > Marketing;3;4;Sí;Táctico;Diseñar y ejecutar la estrategia de marketing y comunicación institucional del banco, fortaleciendo el posicionamiento de marca, la conexión con los clientes y la propuesta de valor, a través de canales tradicionales y digitales, con foco en resultados e impacto reputacional.;Específica;Diseñar campañas institucionales y promocionales multicanal.;Campañas Institucionales Ejecutadas;20
Marketing;Sgp Negocios;GD;Sgp Negocio > Marketing;3;4;Sí;Táctico;Diseñar y ejecutar la estrategia de marketing y comunicación institucional del banco, fortaleciendo el posicionamiento de marca, la conexión con los clientes y la propuesta de valor, a través de canales tradicionales y digitales, con foco en resultados e impacto reputacional.;Específica;Coordinar la ejecución del plan de medios y pauta publicitaria.;Plan de Medios Ejecutado;20
Marketing;Sgp Negocios;GD;Sgp Negocio > Marketing;3;4;Sí;Táctico;Diseñar y ejecutar la estrategia de marketing y comunicación institucional del banco, fortaleciendo el posicionamiento de marca, la conexión con los clientes y la propuesta de valor, a través de canales tradicionales y digitales, con foco en resultados e impacto reputacional.;Específica;Gestionar la identidad visual, el branding y la presencia institucional.;Manual de Marca y Aplicaciones;20
Marketing;Sgp Negocios;GD;Sgp Negocio > Marketing;3;4;Sí;Táctico;Diseñar y ejecutar la estrategia de marketing y comunicación institucional del banco, fortaleciendo el posicionamiento de marca, la conexión con los clientes y la propuesta de valor, a través de canales tradicionales y digitales, con foco en resultados e impacto reputacional.;Específica;Elaborar contenidos y coordinar acciones de comunicación interna y externa.;Contenidos de Comunicación Institucional;20
Marketing;Sgp Negocios;GD;Sgp Negocio > Marketing;3;4;Sí;Estratégico;Diseñar y ejecutar la estrategia de marketing y comunicación institucional del banco, fortaleciendo el posicionamiento de marca, la conexión con los clientes y la propuesta de valor, a través de canales tradicionales y digitales, con foco en resultados e impacto reputacional.;Genérica;Coordinar acciones con las áreas de branding, comunicación, alianzas y performance.;Plan de Marketing Integral;
Marketing;Sgp Negocios;GD;Sgp Negocio > Marketing;3;4;Sí;Estratégico;Diseñar y ejecutar la estrategia de marketing y comunicación institucional del banco, fortaleciendo el posicionamiento de marca, la conexión con los clientes y la propuesta de valor, a través de canales tradicionales y digitales, con foco en resultados e impacto reputacional.;Específica;Monitorear resultados, adecuar estrategias y supervisar acciones de impacto reputacional.;Informe de Desempeño y Reputación de Marca;20
Coordinación Del Negocio Y Datos;Sgp Negocios;SGD;Sgp Negocio > Coordinación del Negocio y Datos;3;5;Sí;Táctico;Coordinar la integración operativa del negocio y la gestión estratégica de los datos, asegurando la calidad, disponibilidad y aprovechamiento de la información para la toma de decisiones, la mejora continua y la eficiencia institucional.;Genérica;Articular las iniciativas de coordinación del negocio con la estrategia institucional. Gestionar equipos de datos de forma transversal para dar soporte a decisiones de negocio. Impulsar la gobernanza, accesibilidad y uso estratégico de la información.;Modelo de Coordinación y Gestión de Datos;
Coordinación Del Negocio Y Datos;Sgp Negocios;SGD;Sgp Negocio > Coordinación del Negocio y Datos;3;5;Sí;Táctico;Coordinar la integración operativa del negocio y la gestión estratégica de los datos, asegurando la calidad, disponibilidad y aprovechamiento de la información para la toma de decisiones, la mejora continua y la eficiencia institucional.;Específica;Coordinar la gestión operativa transversal del negocio.;Modelo Operativo Coordinado;25
Coordinación Del Negocio Y Datos;Sgp Negocios;SGD;Sgp Negocio > Coordinación del Negocio y Datos;3;5;Sí;Táctico;Coordinar la integración operativa del negocio y la gestión estratégica de los datos, asegurando la calidad, disponibilidad y aprovechamiento de la información para la toma de decisiones, la mejora continua y la eficiencia institucional.;Específica;Gestionar la demanda y uso de datos del negocio con enfoque estratégico.;Agenda Estratégica de Datos de Negocio;25
Coordinación Del Negocio Y Datos;Sgp Negocios;SGD;Sgp Negocio > Coordinación del Negocio y Datos;3;5;Sí;Táctico;Coordinar la integración operativa del negocio y la gestión estratégica de los datos, asegurando la calidad, disponibilidad y aprovechamiento de la información para la toma de decisiones, la mejora continua y la eficiencia institucional.;Específica;Asegurar la implementación de estándares de calidad y gobernanza de datos.;Estándares de Calidad y Gobierno de Datos;25
Coordinación Del Negocio Y Datos;Sgp Negocios;SGD;Sgp Negocio > Coordinación del Negocio y Datos;3;5;Sí;Táctico;Coordinar la integración operativa del negocio y la gestión estratégica de los datos, asegurando la calidad, disponibilidad y aprovechamiento de la información para la toma de decisiones, la mejora continua y la eficiencia institucional.;Específica;Coordinar y gestionar proyectos de análisis de datos de alto impacto.;Proyectos de Analítica Avanzada;25
Coordinación Del Negocio Y Datos;Sgp Negocios;SGD;Sgp Negocio > Coordinación del Negocio y Datos;3;5;Sí;Táctico;Coordinar la integración operativa del negocio y la gestión estratégica de los datos, asegurando la calidad, disponibilidad y aprovechamiento de la información para la toma de decisiones, la mejora continua y la eficiencia institucional.;Genérica;Supervisar planificación táctica, modelos de datos, gobernanza de información y su alineación con las necesidades del negocio.;Modelo Integrado de Coordinación y Datos;
Estrategia Comercial Y Propuesta De Valor;Segmento Personas;GD;Sgp Negocio > Segmento Personas > Estrategia Comercial Y Propuesta De Valor;4;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor para el Segmento Personas, asegurando su alineación con la estrategia comercial, los objetivos institucionales y la experiencia del cliente.;Genérica;Analizar comportamientos y necesidades del segmento. Identificar oportunidades de mejora. Proponer estrategias comerciales diferenciadas. Coordinar con áreas de producto, canales y marketing para su implementación.;Propuesta de Valor Integrada para Personas;
Estrategia Comercial Y Propuesta De Valor;Segmento Personas;GD;Sgp Negocio > Segmento Personas > Estrategia Comercial Y Propuesta De Valor;4;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor para el Segmento Personas, asegurando su alineación con la estrategia comercial, los objetivos institucionales y la experiencia del cliente.;Específica;Diseñar la propuesta de valor segmentada según perfiles de clientes personas.;Diseño de Propuesta de Valor por Subsegmento;12,5
Estrategia Comercial Y Propuesta De Valor;Segmento Personas;GD;Sgp Negocio > Segmento Personas > Estrategia Comercial Y Propuesta De Valor;4;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor para el Segmento Personas, asegurando su alineación con la estrategia comercial, los objetivos institucionales y la experiencia del cliente.;Específica;Relevar insights y propuestas de valor del mercado y de los clientes actuales.;Reporte de Insights y Benchmarking;12,5
Estrategia Comercial Y Propuesta De Valor;Segmento Personas;GD;Sgp Negocio > Segmento Personas > Estrategia Comercial Y Propuesta De Valor;4;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor para el Segmento Personas, asegurando su alineación con la estrategia comercial, los objetivos institucionales y la experiencia del cliente.;Específica;Coordinar la implementación de la propuesta en colaboración con áreas clave.;Plan de Implementación Coordinado;12,5
Estrategia Comercial Y Propuesta De Valor;Segmento Empresas;GD;Sgp Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;4;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor para el Segmento Personas, asegurando su alineación con la estrategia comercial, los objetivos institucionales y la experiencia del cliente.;Genérica;Analizar segmentos del sector productivo, identificar necesidades financieras, evaluar propuestas comerciales y coordinar la implementación con productos, canales y regiones.;Propuesta de Valor Integrada para Empresas;
Estrategia Comercial Y Propuesta De Valor;Segmento Empresas;GD;Sgp Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;4;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor para el Segmento Personas, asegurando su alineación con la estrategia comercial, los objetivos institucionales y la experiencia del cliente.;Específica;Diseñar la propuesta de valor según los distintos perfiles de clientes empresa.;Propuesta de Valor Segmentada;12,5
Estrategia Comercial Y Propuesta De Valor;Segmento Empresas;GD;Sgp Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;4;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor para el Segmento Personas, asegurando su alineación con la estrategia comercial, los objetivos institucionales y la experiencia del cliente.;Específica;Identificar oportunidades de mejora e innovación en la oferta comercial.;Informe de Innovación Comercial;12,5
Estrategia Comercial Y Propuesta De Valor;Segmento Empresas;GD;Sgp Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;4;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor para el Segmento Personas, asegurando su alineación con la estrategia comercial, los objetivos institucionales y la experiencia del cliente.;Específica;Coordinar acciones comerciales alineadas con las propuestas de valor diseñadas.;Plan de Acción Comercial Coordinado;12,5
